iso3,year,healthcare_expenditure
NOR,2013,8.87
NPL,2013,4.63
NRU,2013,9.85010052
NZL,2013,9.36019325
OMN,2013,2.5054009
PAK,2013,2.4017837
PAN,2013,6.75967455
PER,2013,4.7487607
PHL,2013,4.27
PLW,2013,11.97790623
PNG,2013,2.99727893
POL,2013,6.48
PRT,2013,9.4
PRY,2013,6.0642848
QAT,2013,2.07620168
ROU,2013,5.22
RUS,2013,5.08
RWA,2013,6.77649164
SAU,2013,4.42293596
SDN,2013,6.96487474
SEN,2013,4.38573599
SGP,2013,3.68562651
SLB,2013,4.57886171
SLE,2013,11.59017754
SLV,2013,9.05235958
SMR,2013,8.23800278
SRB,2013,9.31232452
STP,2013,7.93743753
SUR,2013,4.48738098
SVK,2013,7.5
SVN,2013,8.74
SWE,2013,10.9
SWZ,2013,7.45703411
SYC,2013,4.24818325
TCD,2013,4.06645298
TGO,2013,4.94373512
THA,2013,3.45313334
TJK,2013,6.53
TKM,2013,3.93541193
TLS,2013,8.5323782
TON,2013,3.9839797
TTO,2013,4.80276918
TUN,2013,6.51394987
TUR,2013,4.37
TUV,2013,14.3384304
TZA,2013,4.64643383
UGA,2013,5.78252411
UKR,2013,6.94
URY,2013,8.11897373
USA,2013,15.99170876
UZB,2013,5.72
VCT,2013,4.24191046
VNM,2013,4.41233158
VUT,2013,4.39234495
