SpatialDim,TimeDim,NumericValue
CAF,2013,19009.08
CAF,2014,18924.37
CAF,2015,18641.55
CAF,2016,18399.18
CAF,2017,18602.44
CAF,2018,18298.62
CAF,2019,18106.82
CAN,2000,195745.8
CAN,2001,197428.2
CAN,2002,200714.1
CAN,2003,202423.4
CAN,2004,201981.9
CAN,2005,204434.7
CAN,2006,203417.5
CAN,2007,209446.3
CAN,2008,212551.7
CAN,2009,211511.2
CAN,2010,213043.3
CAN,2011,214514.2
CAN,2012,218414.9
CAN,2013,223830.4
CAN,2014,230008.2
CAN,2015,234300.8
CAN,2016,239579.1
CAN,2017,246910.6
CAN,2018,246302.1
CAN,2019,249830.1
CHE,2000,54826.78
CHE,2001,54784.88
CHE,2002,54061.01
CHE,2003,55827.63
CHE,2004,53208.62
CHE,2005,53630.09
CHE,2006,53345.09
CHE,2007,54236.44
CHE,2008,54689.65
CHE,2009,55770.63
CHE,2010,56238.15
CHE,2011,56698.67
CHE,2012,58809.03
CHE,2013,59508.22
CHE,2014,57896.0
CHE,2015,60829.73
CHE,2016,58850.21
CHE,2017,61108.91
CHE,2018,61741.42
CHE,2019,61857.56
CHL,2000,62333.33
CHL,2001,65923.1
CHL,2002,66305.79
CHL,2003,69080.25
CHL,2004,70919.97
CHL,2005,71249.2
CHL,2006,70802.98
CHL,2007,74450.33
CHL,2008,72142.14
CHL,2009,76628.56
CHL,2010,81765.3
CHL,2011,80311.68
CHL,2012,83374.63
CHL,2013,83553.24
CHL,2014,85423.26
CHL,2015,87643.83
CHL,2016,88807.63
CHL,2017,90563.52
CHL,2018,89943.83
CHL,2019,93277.51
CHN,2000,7020149.0
CHN,2001,7199585.0
CHN,2002,7387470.0
CHN,2003,7557489.0
CHN,2004,7737657.0
CHN,2005,7706251.0
CHN,2006,7610686.0
CHN,2007,7596559.0
CHN,2008,7694286.0
CHN,2009,7795362.0
CHN,2010,7902041.0
CHN,2011,8067102.0
CHN,2012,8125022.0
CHN,2013,8184427.0
CHN,2014,8221774.0
CHN,2015,8217629.0
CHN,2016,8477630.0
CHN,2017,8669561.0
CHN,2018,8846384.0
CHN,2019,9057956.0
CIV,2000,56652.44
CIV,2001,56619.59
CIV,2002,56695.95
CIV,2003,57604.01
CIV,2004,57761.39
CIV,2005,57826.88
CIV,2006,60330.26
CIV,2007,61454.67
CIV,2008,60183.64
CIV,2009,62365.06
CIV,2010,64342.29
CIV,2011,64854.05
CIV,2012,66568.54
CIV,2013,67523.3
CIV,2014,66873.66
CIV,2015,67009.35
CIV,2016,67175.63
CIV,2017,67441.13
CIV,2018,68384.66
CIV,2019,69619.09
CMR,2000,55610.49
CMR,2001,56716.66
CMR,2002,57943.89
CMR,2003,58920.81
CMR,2004,59273.98
CMR,2005,61603.32
CMR,2006,63724.97
CMR,2007,64348.79
CMR,2008,65575.57
CMR,2009,66942.81
CMR,2010,67454.33
CMR,2011,69261.74
CMR,2012,70484.81
CMR,2013,71577.45
CMR,2014,71476.1
CMR,2015,70699.75
CMR,2016,71329.22
