SpatialDim,TimeDim,NumericValue
EST,2017,450.4298
EST,2018,445.0395
EST,2019,426.4981
ETH,2000,725.9026
ETH,2001,700.8479
ETH,2002,684.127
ETH,2003,668.3742
ETH,2004,653.421
ETH,2005,640.0274
ETH,2006,624.1016
ETH,2007,610.8057
ETH,2008,598.009
ETH,2009,580.3856
ETH,2010,564.9946
ETH,2011,553.3602
ETH,2012,537.2716
ETH,2013,526.618
ETH,2014,520.3821
ETH,2015,522.314
ETH,2016,517.6079
ETH,2017,513.416
ETH,2018,512.1307
ETH,2019,511.2582
EUR,2000,613.8366
EUR,2001,607.2029
EUR,2002,611.4559
EUR,2003,614.7724
EUR,2004,588.9079
EUR,2005,586.3857
EUR,2006,560.2546
EUR,2007,546.5852
EUR,2008,537.4716
EUR,2009,521.2278
EUR,2010,512.0911
EUR,2011,492.8536
EUR,2012,487.056
EUR,2013,474.3655
EUR,2014,467.1237
EUR,2015,465.465
EUR,2016,454.1458
EUR,2017,446.3615
EUR,2018,440.5821
EUR,2019,427.1472
FIN,2000,450.7829
FIN,2001,436.4844
FIN,2002,435.4636
FIN,2003,426.3011
FIN,2004,413.8352
FIN,2005,411.2069
FIN,2006,403.5701
FIN,2007,402.6627
FIN,2008,392.5827
FIN,2009,388.6709
FIN,2010,386.1031
FIN,2011,373.5935
FIN,2012,375.7484
FIN,2013,364.3526
FIN,2014,360.3926
