country,iso3,year,region,gdppc,pm25_concentration,population,co2_emissions_pc,healthcare_expenditure,life_expectancy,urbanisation_rate
South Africa,ZAF,2008,Africa,6251.87742691265,17.44,51114595,9.678217,7.14832258,53.91,61.154
South Korea,KOR,2008,Asia,21350.427979823,23.5,48356486,11.015084,5.24600267,79.91,81.733
Spain,ESP,2008,Europe,35510.7222312701,7.93,46235055,7.264811,8.38225937,80.97,77.976
Sri Lanka,LKA,2008,Asia,2007.02665500962,8.26,20629377,0.58107865,3.85,73.14,18.257
Sudan,SDN,2008,Africa,1585.58239746094,4.8,33623981,0.4216827,5.42313576,66.11,32.919
Suriname,SUR,2008,South America,6616.8151257419,1.02,537252,3.5952737,4.74699593,72.21,66.479
Swaziland,SWZ,2008,Africa,3022.45617748042,16.56,1098098,0.9309333,8.85792923,44.28,22.045
Sweden,SWE,2008,Europe,56152.552340314,5.4,9219903,5.5170217,8.21,80.93,84.746
Switzerland,CHE,2008,Europe,74175.1927898555,11.96,7641729,5.84927,9.53167629,81.86,73.556
Syria,SYR,2008,Asia,2447.50716168131,12.0,21636565,3.1315336,3.39762759,73.55,54.875
Tajikistan,TJK,2008,Asia,704.650178811389,29.57,7338403,0.394639,5.91,69.04,26.516
Tanzania,TZA,2008,Africa,671.244445800781,8.98,42570728,0.14067575,5.55704737,60.44,26.776
Thailand,THA,2008,Asia,4327.79747040393,26.72,67619834,3.3163161,3.45933938,74.46,41.242
Afghanistan,AFG,2009,Asia,453.387385142577,10.51,27466101,0.23271917,9.81848717,58.53,23.528
Albania,ALB,2009,Europe,4114.13403283023,9.01,2961487,1.4879525,5.82603931,75.56,51.076
Algeria,DZA,2009,Africa,4270.85845146029,4.66,35490443,3.348967,5.35939837,75.06,66.826
Angola,AGO,2009,Africa,3123.69888517374,14.98,22414774,0.9220852,3.84260798,57.07,59.034
Antigua and Barbuda,ATG,2009,North America,16401.0273315405,0.5,84192,6.6149755,4.17732763,75.51,26.818
Argentina,ARG,2009,South America,8184.38988923991,7.19,40854832,4.361312,9.45599556,75.85,90.691
Armenia,ARM,2009,Asia,2917.36624185176,14.01,2945518,1.4813462,8.44,72.73,63.54
Australia,AUS,2009,Oceania,42816.5674002829,2.92,21783014,18.688597,8.54473877,81.75,85.063
Austria,AUT,2009,Europe,48153.3240199631,13.91,8345072,8.065431,10.23,80.12,57.683
Azerbaijan,AZE,2009,Asia,4950.39949009423,14.25,9046336,3.2170568,2.77,69.37,53.19
Bahamas,BHS,2009,North America,27120.6905452145,1.38,362807,5.9382315,5.1500144,72.81,82.385
Bahrain,BHR,2009,Asia,19448.1832553789,21.45,1183616,23.739178,4.32666922,73.41,88.579
Bangladesh,BGD,2009,Asia,698.503078776717,54.68,150873716,0.3260235,2.18321705,69.6,29.709
Barbados,BRB,2009,North America,16314.6692184915,0.53,274137,6.200283,7.14522552,75.91,32.063
Belarus,BLR,2009,Europe,5352.48809190697,14.76,9507334,6.3716855,5.39,70.48,74.172
Belgium,BEL,2009,Europe,44760.2912443709,13.66,10812936,9.967704,10.32117939,79.83,97.603
Belize,BLZ,2009,North America,5352.09598732755,2.55,312618,1.6525726,4.52587652,73.67,45.245
Benin,BEN,2009,Africa,1061.71835954714,10.89,9509432,0.44424492,2.88892651,60.99,42.58
Bhutan,BTN,2009,Asia,1908.24964779322,25.19,693995,0.9788788,3.5476253,71.27,34.01
Bolivia,BOL,2009,South America,1725.14628617645,7.2,10016280,1.3516139,5.17444515,70.14,65.984
Bosnia and Herzegovina,BIH,2009,Europe,4542.31167332328,11.07,3879798,5.293341,9.02,76.78,45.239
Botswana,BWA,2009,Africa,4938.24990584092,12.64,1990671,1.936756,6.62081194,56.89,60.937
Brazil,BRA,2009,South America,8569.90254736072,7.51,192079956,2.0292332,8.39480495,73.84,84.044
Brunei Darussalam,BRN,2009,Asia,27497.546869338,13.36,384964,20.11857,2.39306617,76.88,74.608
Bulgaria,BGR,2009,Europe,6988.27316296465,9.64,7488018,6.121364,6.6,73.58,71.963
Burkina Faso,BFA,2009,Africa,603.877545561486,4.27,15710065,0.11688717,5.08159161,58.07,24.079
Burundi,BDI,2009,Africa,204.544755595219,16.0,8947653,0.023750586,9.23238468,58.72,10.376
Cambodia,KHM,2009,Asia,734.815118652103,14.74,14276819,0.32075632,7.58330584,66.29,19.93
Cameroon,CMR,2009,Africa,1445.86024800164,12.55,19113979,0.44757625,3.49997187,56.27,50.954
Canada,CAN,2009,North America,40874.8831932903,6.35,33826369,16.04697,10.66225815,80.88,80.758
Cape Verde,CPV,2009,Africa,3592.31587892127,1.18,506149,1.0279344,3.88152432,73.98,61.016
Central African Republic,CAF,2009,Africa,452.922236469512,15.19,4529051,0.03559598,4.81901121,48.87,38.694
Chad,TCD,2009,Africa,808.161523513674,6.03,11893752,0.10224242,4.44166946,55.19,21.934
Chile,CHL,2009,South America,10204.5588537616,12.87,17009728,3.8777707,7.25026846,79.0,87.017
China,CHN,2009,Asia,3832.2274569094,43.99,1342522709,5.8777986,4.34958458,74.39,47.88
Colombia,COL,2009,South America,5245.95158468149,7.47,44271541,1.6367313,7.3113451,75.76,77.587
Comoros,COM,2009,Africa,1409.10667152145,1.69,641947,0.21118255,4.92694378,65.01,27.921
Costa Rica,CRI,2009,North America,6737.8607505315,2.82,4499788,1.7218038,7.86019135,80.61,70.575
Cote d'Ivoire,CIV,2009,Africa,1638.80468544921,9.21,21997937,0.25729427,4.46966648,57.18,46.91
Croatia,HRV,2009,Europe,14422.9198619352,12.13,4310537,5.0472794,8.08,76.45,54.987
Cuba,CUB,2009,North America,5094.43756186586,2.91,11294716,2.4631934,12.29053974,78.02,76.505
Cyprus,CYP,2009,Asia,32236.53515625,6.21,1109377,7.6360445,6.47,80.92,67.695
Czech Republic,CZE,2009,Europe,19861.6974295256,18.11,10420986,11.033749,7.24880648,77.28,73.324
Dem. Rep. Congo,COD,2009,Africa,290.155675073525,20.04,66412040,0.036830176,4.51133156,56.81,39.491
Denmark,DNK,2009,Europe,58163.2768762815,8.21,5523168,8.8427105,10.67,78.88,86.654
Djibouti,DJI,2009,Africa,1164.25168346453,6.42,911523,0.4863772,3.64194465,61.71,76.944
Dominican Republic,DOM,2009,North America,5002.15316981585,2.79,9695269,2.040239,4.76337624,73.55,72.542
Ecuador,ECU,2009,South America,4076.23494804164,7.7,14825961,2.2662005,5.79984474,74.93,62.495
Egypt,EGY,2009,Africa,2212.21814788932,7.35,87501636,2.3597033,4.37870932,69.79,43.039
El Salvador,SLV,2009,North America,2889.68588721937,7.07,6048284,1.0436777,8.83749676,74.0,64.57
Equatorial Guinea,GNQ,2009,Africa,14398.770485777,11.16,1135684,4.3159294,1.76790214,59.84,64.358
Eritrea,ERI,2009,Africa,602.063223832873,6.28,2887888,0.15444435,5.38878489,60.07,34.585
Estonia,EST,2009,Europe,14711.7352728223,8.24,1334528,10.794065,6.84477043,75.04,68.223
Ethiopia,ETH,2009,Africa,373.893958712145,10.44,88007639,0.073328234,4.64983416,62.16,16.91
Fiji,FJI,2009,Oceania,3184.68912291481,0.2,907247,0.77137095,3.53587627,67.25,51.658
Finland,FIN,2009,Europe,47481.4845364339,7.11,5338855,10.474156,9.16,79.71,83.429
France,FRA,2009,Europe,41737.7635518137,11.6,63106461,5.876987,11.28756237,81.04,78.117
Gabon,GAB,2009,Africa,7325.90951318545,14.47,1661566,3.1924388,3.83571577,61.23,84.955
Gambia,GMB,2009,Africa,772.124933818401,3.59,1871431,0.19970173,4.46430683,61.86,54.937
Georgia,GEO,2009,Asia,2822.68939668797,11.43,3918936,1.5656357,9.57,71.32,55.15
Germany,DEU,2009,Europe,41650.3678297162,12.42,80935275,9.760277,11.23791218,79.99,76.771
Ghana,GHA,2009,Africa,1044.00498892672,12.78,24862668,0.2762383,4.37879181,61.53,50.031
Greece,GRC,2009,Europe,29828.7560245271,8.01,11108069,9.391356,9.40688515,80.02,75.932
Grenada,GRD,2009,North America,6810.44031784436,0.63,111266,2.2721765,5.43471003,70.94,35.871
Guatemala,GTM,2009,North America,2651.83174404335,9.43,14215615,0.80489284,6.33938646,70.84,48.104
Guinea,GIN,2009,Africa,670.261253626844,5.73,10143540,0.2080599,3.58147597,57.86,33.391
Guinea-Bissau,GNB,2009,Africa,582.877268776159,4.0,1526384,0.15362844,4.73428679,54.72,39.716
Guyana,GUY,2009,South America,4213.81622922287,1.22,752095,2.5381687,4.35117149,66.09,26.869
Haiti,HTI,2009,North America,1191.80292543805,3.62,9689586,0.19487943,3.50277376,60.75,46.528
Honduras,HND,2009,North America,1762.34916029174,5.78,8189904,0.9805253,8.99592495,70.99,51.225
Hungary,HUN,2009,Europe,13077.305465178,16.52,10001382,5.1450386,7.22,74.22,68.46
Iceland,ISL,2009,Europe,41301.273219718,1.28,318619,11.712428,8.78,81.5,93.511
India,IND,2009,Asia,1096.63613606381,45.33,1225524760,1.3155314,3.49,67.05,30.587
Indonesia,IDN,2009,Asia,2239.09526529896,11.08,243220024,1.6402516,2.62324095,69.02,49.134
Iran,IRN,2009,Asia,5602.5562818391,12.03,76457832,7.1073537,6.11493444,76.24,70.045
Iraq,IRQ,2009,Asia,3686.40208888479,14.99,30058207,3.4870806,3.77203989,70.62,68.98
Ireland,IRL,2009,Europe,52133.0906162544,4.68,4533750,9.306052,10.52275658,79.53,61.342
Israel,ISR,2009,Asia,28317.0408441487,7.43,7206096,8.862073,6.92,81.13,91.763
Italy,ITA,2009,Europe,37226.7571935402,12.58,59904016,7.07901,8.95,81.52,68.209
Jamaica,JAM,2009,North America,4452.12079882126,2.3,2737001,2.8987157,5.14654493,72.2,53.557
Japan,JPN,2009,Asia,41308.9968370512,12.43,128192471,9.075358,8.96,83.16,89.989
Jordan,JOR,2009,Asia,3618.89261685515,7.55,7141763,2.9875946,9.22396946,76.35,84.928
Kazakhstan,KAZ,2009,Asia,7165.22477794014,9.21,16619850,13.510935,3.5,68.52,56.755
Kenya,KEN,2009,Africa,1049.12179424341,7.5,40408887,0.3054444,5.26973343,60.49,23.183
Kiribati,KIR,2009,Oceania,1324.43601505632,0.12,106479,0.44733703,13.49,61.32,46.547
Kuwait,KWT,2009,Asia,37906.2051851748,20.06,2795490,31.736452,2.70638776,79.2,100.0
Kyrgyzstan,KGZ,2009,Asia,871.224226887324,10.05,5398013,1.2429179,6.9,68.89,35.284
Laos,LAO,2009,Asia,936.790193410368,25.69,6241649,0.427364,3.46300411,63.8,29.475
Latvia,LVA,2009,Europe,12331.9285524089,10.68,2142043,3.4808807,6.1,72.66,67.814
Lebanon,LBN,2009,Asia,7149.7914980484,8.22,4992293,4.197982,7.0073576,77.79,87.187
Lesotho,LSO,2009,Africa,866.475127181991,12.74,1980885,1.1190554,8.95305061,47.42,24.293
Liberia,LBR,2009,Africa,452.745228889857,6.95,3943036,0.13238099,11.57163811,60.05,47.445
Libya,LBY,2009,Africa,9560.80753446227,3.67,6366688,8.108887,3.5828805,74.13,77.837
Lithuania,LTU,2009,Europe,11820.7761591359,12.78,3163258,4.065658,7.37,72.78,66.842
Luxembourg,LUX,2009,Europe,109419.746953106,10.16,498195,21.327303,6.95,80.92,88.178
Macedonia,MKD,2009,Europe,4799.78722768888,8.74,2060601,3.9971445,6.53,74.59,57.117
Madagascar,MDG,2009,Africa,455.407373772766,3.33,21547277,0.079192325,4.38469839,62.25,31.301
Malawi,MWI,2009,Africa,630.109154083703,11.27,14395788,0.07038913,5.87333822,55.73,15.429
Malaysia,MYS,2009,Asia,7167.87719423373,15.73,28124780,6.8309536,3.2610569,74.01,70.075
Maldives,MDV,2009,Asia,6719.33025725066,2.36,348282,2.5353708,10.09,74.43,36.021
Mali,MLI,2009,Africa,680.649958587557,2.85,15435537,0.12224777,5.2122364,58.28,35.2
Malta,MLT,2009,Europe,21083.2770528363,4.51,420800,6.085418,7.92,80.25,94.001
Mauritania,MRT,2009,Africa,1418.94084292347,1.47,3284455,0.6126734,3.11034036,68.08,45.686
Mauritius,MUS,2009,Africa,7318.12640972422,0.36,1278977,2.899167,4.17035627,73.1,41.666
Mexico,MEX,2009,North America,8495.65308003777,13.86,111999721,4.109774,6.12978411,75.14,77.52
Micronesia,FSM,2009,Oceania,2598.40360440538,0.11,107968,1.3574393,12.55259323,64.68,22.305
Moldova,MDA,2009,Europe,1898.43975710988,13.15,3706211,1.2248391,13.68,68.03,42.651
