year,iso3,country,region,gdppc,pm25_concentration,population
2009,GNB,Guinea-Bissau,Africa,582.877268776159,4.0,1526384
2009,GUY,Guyana,South America,4213.81622922287,1.22,752095
2009,HTI,Haiti,North America,1191.80292543805,3.62,9689586
2009,HND,Honduras,North America,1762.34916029174,5.78,8189904
2009,HKG,Hong Kong,Asia,30697.5383861641,31.03,7064465
2009,HUN,Hungary,Europe,13077.305465178,16.52,10001382
2009,ISL,Iceland,Europe,41301.273219718,1.28,318619
2009,IND,India,Asia,1096.63613606381,45.33,1225524760
2009,IDN,Indonesia,Asia,2239.09526529896,11.08,243220024
2009,IRN,Iran,Asia,5602.5562818391,12.03,76457832
2009,IRQ,Iraq,Asia,3686.40208888479,14.99,30058207
2009,IRL,Ireland,Europe,52133.0906162544,4.68,4533750
2009,IMN,Isle of Man,Europe,66175.2547436921,5.79,82955
2009,ISR,Israel,Asia,28317.0408441487,7.43,7206096
2009,ITA,Italy,Europe,37226.7571935402,12.58,59904016
2009,JAM,Jamaica,North America,4452.12079882126,2.3,2737001
2009,JPN,Japan,Asia,41308.9968370512,12.43,128192471
2009,JOR,Jordan,Asia,3618.89261685515,7.55,7141763
2009,KAZ,Kazakhstan,Asia,7165.22477794014,9.21,16619850
2009,KEN,Kenya,Africa,1049.12179424341,7.5,40408887
2009,KIR,Kiribati,Oceania,1324.43601505632,0.12,106479
2009,KWT,Kuwait,Asia,37906.2051851748,20.06,2795490
2009,KGZ,Kyrgyzstan,Asia,871.224226887324,10.05,5398013
2009,LAO,Laos,Asia,936.790193410368,25.69,6241649
2009,LVA,Latvia,Europe,12331.9285524089,10.68,2142043
2009,LBN,Lebanon,Asia,7149.7914980484,8.22,4992293
2009,LSO,Lesotho,Africa,866.475127181991,12.74,1980885
2009,LBR,Liberia,Africa,452.745228889857,6.95,3943036
2009,LBY,Libya,Africa,9560.80753446227,3.67,6366688
2009,LIE,Liechtenstein,Europe,126261.397282982,9.16,35739
2009,LTU,Lithuania,Europe,11820.7761591359,12.78,3163258
2009,LUX,Luxembourg,Europe,109419.746953106,10.16,498195
2009,MAC,Macao,Asia,39754.9761535003,36.23,549491
2009,MKD,Macedonia,Europe,4799.78722768888,8.74,2060601
2009,MDG,Madagascar,Africa,455.407373772766,3.33,21547277
2009,MWI,Malawi,Africa,630.109154083703,11.27,14395788
2009,MYS,Malaysia,Asia,7167.87719423373,15.73,28124780
2009,MDV,Maldives,Asia,6719.33025725066,2.36,348282
2009,MLI,Mali,Africa,680.649958587557,2.85,15435537
2009,MLT,Malta,Europe,21083.2770528363,4.51,420800
2009,MHL,Marshall Islands,Oceania,2815.41356801422,0.08,52038
2009,MRT,Mauritania,Africa,1418.94084292347,1.47,3284455
2009,MUS,Mauritius,Africa,7318.12640972422,0.36,1278977
2009,MEX,Mexico,North America,8495.65308003777,13.86,111999721
2009,FSM,Micronesia,Oceania,2598.40360440538,0.11,107968
2009,MDA,Moldova,Europe,1898.43975710988,13.15,3706211
2009,MCO,Monaco,Europe,168957.10787757,10.58,32388
2009,MNG,Mongolia,Asia,1718.91402182752,5.23,2665331
2009,MNE,Montenegro,Europe,6727.10776676969,7.6,632445
2009,MAR,Morocco,Africa,3118.1416015625,4.57,32030779
2009,MOZ,Mozambique,Africa,546.600732462517,8.07,22391752
2009,MMR,Myanmar,Asia,752.944035899187,21.66,48660458
2009,NAM,Namibia,Africa,4322.62926597991,9.2,2077400
2009,NRU,Nauru,Oceania,4317.03757932603,0.1,10041
2009,NPL,Nepal,Asia,475.63597612014,42.95,27173035
2009,NLD,Netherlands,Europe,52722.2130568997,12.65,16684147
2009,NCL,New Caledonia,Oceania,35391.0880349722,0.38,257259
2009,NZL,New Zealand,Oceania,28209.3623271229,1.56,4304304
2009,NIC,Nicaragua,North America,1438.08682340939,3.3,5656605
2009,NER,Niger,Africa,458.421890235321,3.6,15943673
2009,NGA,Nigeria,Africa,1883.88778309689,13.88,162049465
2009,MNP,Northern Mariana Islands,Oceania,13933.6791923724,0.39,55345
2009,NOR,Norway,Europe,80347.5700665184,4.79,4828624
2009,OMN,Oman,Asia,17937.9795676859,9.32,2684665
2009,PAK,Pakistan,Asia,985.349300762774,28.66,194376535
2009,PLW,Palau,Oceania,10092.3183809542,0.28,18733
2009,PAN,Panama,North America,7618.43845900774,1.54,3564383
2009,PNG,Papua New Guinea,Oceania,1578.96862832112,1.07,7406442
2009,PRY,Paraguay,South America,3920.18607071017,7.12,5671245
2009,PER,Peru,South America,4164.97048299155,13.53,28896818
2009,PHL,Philippines,Asia,1893.28164063577,9.03,94384256
2009,POL,Poland,Europe,11525.9007370991,21.22,38002154
2009,PRT,Portugal,Europe,23151.2154130712,6.72,10576264
2009,PRI,Puerto Rico,North America,25768.7258883384,1.42,3735014
2009,QAT,Qatar,Asia,60733.9817002272,24.03,1586052
2009,COG,Republic of Congo,Africa,2283.94987239428,23.37,4281219
2009,ROU,Romania,Europe,8548.04859012993,13.59,20576923
2009,RUS,Russia,Europe,8562.82421875,13.49,143869130
2009,RWA,Rwanda,Africa,564.976632424991,17.05,10060440
2009,KNA,Saint Kitts and Nevis,North America,16374.256885994,0.58,46941
2009,LCA,Saint Lucia,North America,8259.32233799025,0.9,169880
2009,VCT,Saint Vincent and the Grenadines,North America,6503.09777184322,0.61,110522
2009,WSM,Samoa,Oceania,3250.95309678248,0.1,191530
2009,SMR,San Marino,Europe,66200.6729727817,11.6,30113
2009,STP,Sao Tome and Principe,Africa,1126.53858479155,8.57,177867
2009,SAU,Saudi Arabia,Asia,15064.6301357458,12.2,24217654
2009,SEN,Senegal,Africa,1323.9712258938,2.81,12337391
2009,SRB,Serbia,Europe,6169.11419477823,12.68,7425346
2009,SYC,Seychelles,Africa,9747.09180546291,0.43,93644
2009,SLE,Sierra Leone,Africa,386.433868490557,6.74,6055655
2009,SGP,Singapore,Asia,38926.8054365453,19.62,4968573
2009,SVK,Slovakia,Europe,16597.2084581361,18.44,5385074
2009,SVN,Slovenia,Europe,24792.1279805504,12.81,2035611
2009,SLB,Solomon Islands,Oceania,1526.15990773608,0.21,518150
2009,SOM,Somalia,Africa,251.371291706029,3.07,11961204
2009,ZAF,South Africa,Africa,6444.18684044519,17.78,51728518
2009,KOR,South Korea,Asia,19143.8516053025,25.64,48546689
2009,SSD,South Sudan,Africa,1325.2750772158,10.26,9243558
2009,ESP,Spain,Europe,32169.5028548583,6.91,46635182
2009,LKA,Sri Lanka,Asia,2053.76645085487,7.45,20756435
2009,PSE,State of Palestine,Asia,2191.78178736868,8.14,3921243
2009,SDN,Sudan,Africa,1223.90344238281,5.78,34569115
2009,SUR,Suriname,South America,7176.85765780579,0.84,543580
2009,SWZ,Swaziland,Africa,3270.1377612043,15.79,1105157
2009,SWE,Sweden,Europe,46946.9602719954,6.35,9298738
2009,CHE,Switzerland,Europe,71568.3123885672,12.13,7737642
2009,SYR,Syria,Asia,2479.0942337843,10.75,21976971
2009,TJK,Tajikistan,Asia,666.721344206247,23.28,7490233
2009,TZA,Tanzania,Africa,688.710388183594,8.69,43633977
2009,THA,Thailand,Asia,4154.18744707842,25.67,68121076
2010,AFG,Afghanistan,Asia,562.499221552971,11.93,28284088
2010,ALB,Albania,Europe,4094.34968570481,9.72,2928730
2010,DZA,Algeria,Africa,4958.2593791361,5.44,36188236
2010,ASM,American Samoa,Oceania,10446.8632062572,0.1,55245
2010,AND,Andorra,Europe,48237.8911738235,5.17,80726
2010,AGO,Angola,Africa,3586.66369358621,15.7,23294821
2010,ATG,Antigua and Barbuda,North America,15149.7235026029,0.54,85337
2010,ARG,Argentina,South America,10385.9644319555,6.82,41288694
2010,ARM,Armenia,Asia,3143.0294799683,18.59,2931083
2010,ABW,Aruba,North America,24452.5887394376,1.31,100127
2010,AUS,Australia,Oceania,52147.0241942843,2.4,22141583
